lat,lng,city,country,GMT,iso
-10.73801832,165.8567353,Lata,Solomon Islands,1100,SLB
36.05478762,-112.1385922,Grand Canyon,United States of America,-0700,USA
38.65039146,-27.21666976,Angra do Heroismo,Portugal,-0100,PRT
64.19828147,-51.73265879,Nuuk,Greenland,-0300,GRL
7.103004311,171.3800002,Majuro,Marshall Islands,1200,MHL
53.20002016,-105.7499899,Prince Albert,Canada,-0600,CAN
-21.13851236,-175.2205645,Nukualofa,Tonga,1300,TON
-13.84154504,-171.7386416,Apia,Samoa,-1100,WSM
13.4700163,144.750017,Agana,Guam,1000,GUM
-42.85000853,147.2950297,Hobart,Australia,1000,AUS
-12.42535398,130.8500386,Darwin,Australia,0930,AUS
-22.26252776,166.4442852,Noumea,New Caledonia,1100,NCL
59.57497988,150.8100089,Magadan,Russia,1100,RUS
14.91669802,-23.51668889,Praia,Cape Verde,-0100,CPV
6.900003885,79.94999304,Sri Jawewardenepura Kotte,Sri Lanka,0600,LKA
-18.13301593,178.4417073,Suva,Fiji,1200,FJI
53.06199241,158.6230204,Petropavlovsk Kamchatskiy,Russia,1200,RUS
62.03495892,129.7350162,Yakutsk,Russia,0900,RUS
61.21996991,-149.9002149,Anchorage,United States of America,-0900,USA
-9.464707826,147.1925036,Port Moresby,Papua New Guinea,1000,PNG
-35.28302855,149.1290262,Canberra,Australia,1000,AUS
46.05528831,14.51496903,Ljubljana,Slovenia,0100,SVN
-41.29997394,174.7832743,Wellington,New Zealand,1200,NZL
15.14505617,120.5450862,Angeles,Philippines,-0800,PHL
28.60002301,77.19998002,New Delhi,India,0530,IND
51.1811253,71.42777421,Astana,Kazakhstan,0600,KAZ
23.22110069,-106.4200007,Mazatlan,Mexico,-0700,MEX
59.43387738,24.72804073,Tallinn,Estonia,0200,EST
48.15001833,17.11698075,Bratislava,Slovakia,0100,SVK
55.94832786,-3.219090618,Edinburgh,United Kingdom,0000,GBR
42.00000612,21.43346147,Skopje,Macedonia,0100,MKD
54.68336631,25.31663529,Vilnius,Lithuania,0200,LTU
52.31997052,104.2450476,Irkutsk,Russia,0800,RUS
21.30687644,-157.8579979,Honolulu,United States of America,-1000,USA
24.46668357,54.36659338,Abu Dhabi,United Arab Emirates,0400,ARE
50.08333701,14.46597978,Prague,Czech Republic,0100,CZE
43.13001467,131.9100256,Vladivostok,Russia,1000,RUS
56.01398277,92.86600053,Krasnoyarsk,Russia,0700,RUS
23.61332481,58.59331213,Muscat,Oman,0400,OMN
43.8500224,18.38300167,Sarajevo,Bosnia and Herzegovina,0100,BIH
33.69999595,73.16663448,Islamabad,Pakistan,0500,PAK
45.80000673,15.99999467,Zagreb,Croatia,0100,HRV
56.95002382,24.09996537,Riga,Latvia,0200,LVA
28.64498151,-106.0849823,Chihuahua,Mexico,-0700,MEX
-36.850013,174.7649808,Auckland,New Zealand,1200,NZL
48.71000999,44.49996049,Volgograd,Russia,0300,RUS
47.9166734,106.9166158,Ulaanbaatar,Mongolia,0800,MNG
60.17556337,24.93412634,Helsinki,Finland,0200,FIN
52.34996869,4.916640176,Amsterdam,Netherlands,0100,NLD
27.71669191,85.31664221,Kathmandu,Nepal,0545,NPL
6.31055666,-10.80475163,Monrovia,Liberia,0000,LBR
31.77840782,35.20662593,Jerusalem,Israel,0200,ISR
-34.93498777,138.6000048,Adelaide,Australia,0930,AUS
53.33306114,-6.248905682,Dublin,Ireland,0000,IRL
42.68334943,23.31665401,Sofia,Bulgaria,0200,BGR
38.57502138,-121.4700381,Sacramento,United States of America,-0800,USA
41.72500999,44.79079545,Tbilisi,Georgia,0400,GEO
29.36971763,47.97830115,Kuwait,Kuwait,0300,KWT
43.32498985,76.91503617,Almaty,Kazakhstan,0600,KAZ
40.18115074,44.51355139,Yerevan,Armenia,0400,ARM
44.81864545,20.46799068,Belgrade,Serbia,0100,SRB
39.74998842,-86.17004806,Indianapolis,United States of America,-0500,USA
-16.49797361,-68.14998519,La Paz,Bolivia,-0700,BOL
-31.95501463,115.8399987,Perth,Australia,0800,AUS
55.02996014,82.96004187,Novosibirsk,Russia,0600,RUS
59.35075995,18.09733473,Stockholm,Sweden,0100,SWE
56.85002993,60.59995967,Yekaterinburg,Russia,0500,RUS
-25.70692055,28.22942908,Pretoria,South Africa,0200,ZAF
50.83331708,4.333316608,Brussels,Belgium,0100,BEL
-27.45503091,153.0350927,Brisbane,Australia,1000,AUS
3.166665872,101.6999833,Kuala Lumpur,Malaysia,0800,MYS
32.50001752,-117.079996,Tijuana,Mexico,-0800,MEX
-0.214988181,-78.50005111,Quito,Ecuador,-0500,ECU
-17.81778969,31.04470943,Harare,Zimbabwe,0200,ZWE
38.72272288,-9.144866305,Lisbon,Portugal,0000,PRT
47.50000633,19.08332068,Budapest,Hungary,0100,HUN
41.89595563,12.48325842,Rome,Italy,0100,ITA
53.89997744,27.56662716,Minsk,Belarus,0200,BLR
52.25000063,20.99999955,Warsaw,Poland,0100,POL
43.80501223,87.57500565,Urumqi,China,0800,CHN
44.4333718,26.09994665,Bucharest,Romania,0200,ROU
37.98332623,23.73332108,Athens,Greece,0200,GRC
40.39527203,49.86221716,Baku,Azerbaijan,0400,AZE
48.20001528,16.36663896,Vienna,Austria,0100,AUT
37.74000775,-122.4599777,San Francisco,United States of America,-0800,USA
-37.82003131,144.9750162,Melbourne,Australia,1000,AUS
50.43336733,30.51662797,Kiev,Ukraine,0200,UKR
43.07497927,141.3400443,Sapporo,Japan,0900,JPN
10.50099855,-66.91703719,Caracas,Venezuela,-0400,VEN
25.66999514,-100.3299848,Monterrey,Mexico,-0600,MEX
33.53997988,-112.0699917,Phoenix,United States of America,-0700,USA
40.40002626,-3.683351686,Madrid,Spain,0100,ESP
-1.283346742,36.81665686,Nairobi,Kenya,0300,KEN
-33.45001382,-70.66704085,Santiago,Chile,-0400,CHL
21.03332725,105.8500142,Hanoi,Vietnam,0700,VNM
20.67001609,-103.3300342,Guadalajara,Mexico,-0600,MEX
-15.78334023,-47.91605229,Brasilia,Brazil,-0300,BRA
34.51669029,69.18326005,Kabul,Afghanistan,0430,AFG
33.59997622,-7.616367433,Casablanca,Morocco,0000,MAR
52.52181866,13.40154862,Berlin,Germany,0100,DEU
16.7833541,96.16667761,Rangoon,Myanmar,0630,MMR
59.93901451,30.31602006,St. Petersburg,Russia,0300,RUS
-33.92001097,151.1851798,Sydney,Australia,1000,AUS
1.293033466,103.8558207,Singapore,Singapore,0800,SGP
24.64083315,46.77274166,Riyadh,Saudi Arabia,0300,SAU
25.03583333,121.5683333,Taipei,Taiwan,0800,TWN
48.86669293,2.333335326,Paris,France,0100,FRA
33.3386485,44.39386877,Baghdad,Iraq,0300,IRQ
29.56497703,106.5949816,Chongqing,China,0800,CHN
13.08998781,80.27999874,Chennai,India,0530,IND
22.3049809,114.1850093,Hong Kong,Hong Kong S.A.R.,0800,HKG
13.74999921,100.5166447,Bangkok,Thailand,0700,THA
34.75003522,135.4601448,Osaka,Japan,0900,JPN
4.596423563,-74.08334396,Bogota,Colombia,-0500,COL
-12.04801268,-77.05006209,Lima,Peru,-0500,PER
35.67194277,51.42434403,Tehran,Iran,0300,IRN
51.49999473,-0.116721844,London,United Kingdom,0000,GBR
33.98997825,-118.1799805,Los Angeles,United States of America,-0800,USA
-6.174417705,106.8294376,Jakarta,Indonesia,0700,IDN
39.92889223,116.3882857,Beijing,China,0800,CHN
22.4949693,88.32467566,Kolkata,India,0530,IND
37.5663491,126.999731,Seoul,South Korea,0900,KOR
30.04996035,31.24996822,Cairo,Egypt,0200,EGY
23.72305971,90.40857947,Dhaka,Bangladesh,0600,BGD
41.10499615,29.01000159,Istanbul,Turkey,0200,TUR
55.75216412,37.61552283,Moscow,Russia,0300,RUS
-34.60250161,-58.39753137,Buenos Aires,Argentina,-0300,ARG
24.86999229,66.99000891,Karachi,Pakistan,0500,PAK
19.44244244,-99.1309882,Mexico City,Mexico,-0600,MEX
19.01699038,72.8569893,Mumbai,India,0530,IND
35.68501691,139.7514074,Tokyo,Japan,0900,JPN
